name;popul
Akaa;17108
Alajärvi;10227
Alavieska;2740
Alavus;12228
Asikkala;8405
Askola;4991
Aura;3962
Brändö;475
Eckerö;947
Enonkoski;1522
Enontekiö;1891
Espoo;260753
Eura;12368
Eurajoki;5931
Evijärvi;2685
Finström;2520
Forssa;17667
Föglö;572
Geta;500
Haapajärvi;7616
Haapavesi;7241
Hailuoto;999
Halsua;1229
Hamina;21203
Hammarland;1540
Hankasalmi;5404
Hanko;9109
Harjavalta;7407
Hartola;3098
Hattula;9684
Hausjärvi;8808
Heinola;19979
Heinävesi;3667
Helsinki;612664
Hirvensalmi;2338
Hollola;21987
Honkajoki;1819
Huittinen;10543
Humppila;2463
Hyrynsalmi;2565
Hyvinkää;46188
Hämeenkoski;2086
Hämeenkyrö;10582
Hämeenlinna;67806
Ii;9610
Iisalmi;22171
Iitti;6981
Ikaalinen;7303
Ilmajoki;12099
Ilomantsi;5614
Imatra;28219
Inari;6794
Inkoo;5562
Isojoki;2257
Isokyrö;4854
Jalasjärvi;7987
Janakkala;16842
Joensuu;74471
Jokioinen;5595
Jomala;4424
Joroinen;5213
Joutsa;4857
Juankoski;4995
Juuka;5203
Juupajoki;2039
Juva;6684
Jyväskylä;134658
Jämijärvi;1971
Jämsä;22138
Järvenpää;39953
Kaarina;31798
Kaavi;3261
Kajaani;37868
Kalajoki;12644
Kangasala;30345
Kangasniemi;5801
Kankaanpää;11972
Kannonkoski;1520
Kannus;5675
Karijoki;1462
Karkkila;9074
Karstula;4343
Karvia;2523
Kaskinen;1350
Kauhajoki;14081
Kauhava;17065
Kauniainen;9101
Kaustinen;4288
Keitele;2427
Kemi;22120
Kemijärvi;7983
Keminmaa;8565
Kemiönsaari;7012
Kempele;16605
Kerava;34913
Keuruu;10310
Kihniö;2111
Kinnula;1769
Kirkkonummi;37899
Kitee;11197
Kittilä;6478
Kiuruvesi;8866
Kivijärvi;1259
Kokemäki;7769
Kokkola;47031
Kolari;3885
Konnevesi;2846
Kontiolahti;14422
Korsnäs;2218
Koski Tl;2423
Kotka;54771
Kouvola;86926
Kristiinankaupunki;7001
Kruunupyy;6682
Kuhmo;9104
Kuhmoinen;2409
Kumlinge;330
Kuopio;106342
Kuortane;3819
Kurikka;14322
Kustavi;869
Kuusamo;15952
Kyyjärvi;1431
Kärkölä;4755
Kärsämäki;2721
Kökar;251
Köyliö;2688
Lahti;103364
Laihia;8007
Laitila;8487
Lapinjärvi;2820
Lapinlahti;10176
Lappajärvi;3317
Lappeenranta;72658
Lapua;14692
Laukaa;18588
Lavia;1902
Lemi;3130
Lemland;1926
Lempäälä;21829
Leppävirta;10170
Lestijärvi;818
Lieksa;12303
Lieto;17172
Liminka;9577
Liperi;12396
Lohja;47703
Loimaa;16700
Loppi;8341
Loviisa;15493
Luhanka;763
Lumijoki;2084
Lumparland;413
Luoto;5065
Luumäki;4992
Luvia;3355
Maalahti;5580
Maaninka;3771
Maarianhamina;11393
Marttila;2056
Masku;9729
Merijärvi;1153
Merikarvia;3226
Miehikkälä;2145
Mikkeli;54635
Muhos;8998
Multia;1777
Muonio;2383
Mustasaari;19153
Muurame;9572
Mynämäki;7950
Myrskylä;1987
Mäntsälä;20534
Mänttä-Vilppula;10898
Mäntyharju;6287
Naantali;18859
Nakkila;5706
Nastola;14985
Nivala;10942
Nokia;32690
Nousiainen;4872
Nurmes;8191
Nurmijärvi;41178
Närpiö;9335
Orimattila;16347
Oripää;1423
Orivesi;9630
Oulainen;7772
Oulu;193798
Outokumpu;7262
Padasjoki;3279
Paimio;10590
Paltamo;3620
Parainen;15507
Parikkala;5509
Parkano;6836
Pedersören kunta;10970
Pelkosenniemi;966
Pello;3739
Perho;2923
Pertunmaa;1842
Petäjävesi;4125
Pieksämäki;19288
Pielavesi;4824
Pietarsaari;19633
Pihtipudas;4354
Pirkkala;18369
Polvijärvi;4664
Pomarkku;2340
Pori;83497
Pornainen;5145
Porvoo;49426
Posio;3647
Pudasjärvi;8537
Pukkila;2036
Punkalaidun;3173
Puolanka;2878
Puumala;2319
Pyhtää;5384
Pyhäjoki;3356
Pyhäjärvi;5731
Pyhäntä;1545
Pyhäranta;2177
Pälkäne;6795
Pöytyä;8590
Raahe;25507
Raasepori;28695
Raisio;24565
Rantasalmi;3872
Ranua;4154
Rauma;39979
Rautalampi;3426
Rautavaara;1784
Rautjärvi;3682
Reisjärvi;2925
Riihimäki;29318
Ristijärvi;1427
Rovaniemi;61215
Ruokolahti;5507
Ruovesi;4771
Rusko;5995
Rääkkylä;2467
Saarijärvi;10165
Salla;3890
Salo;54478
Saltvik;1813
Sastamala;25511
Sauvo;3032
Savitaipale;3729
Savonlinna;36256
Savukoski;1126
Seinäjoki;60354
Sievi;5198
Siikainen;1632
Siikajoki;5593
Siikalatva;5857
Siilinjärvi;21567
Simo;3356
Sipoo;18914
Siuntio;6183
Sodankylä;8884
Soini;2284
Somero;9146
Sonkajärvi;4454
Sotkamo;10659
Sottunga;100
Sulkava;2794
Sund;1029
Suomussalmi;8661
Suonenjoki;7456
Sysmä;4139
Säkylä;4567
Taipalsaari;4826
Taivalkoski;4251
Taivassalo;1667
Tammela;6474
Tampere;220446
Tarvasjoki;1956
Tervo;1669
Tervola;3306
Teuva;5656
Tohmajärvi;4876
Toholampi;3381
Toivakka;2466
Tornio;22371
Turku;182072
Tuusniemi;2802
Tuusula;38125
Tyrnävä;6642
Ulvila;13361
Urjala;5105
Utajärvi;2945
Utsjoki;1279
Uurainen;3594
Uusikaarlepyy;7524
Uusikaupunki;15463
Vaala;3193
Vaasa;66321
Valkeakoski;21129
Valtimo;2379
Vantaa;208098
Varkaus;22107
Vehmaa;2330
Vesanto;2288
Vesilahti;4473
Veteli;3332
Vieremä;3874
Vihti;28929
Viitasaari;6895
Vimpeli;3171
Virolahti;3435
Virrat;7280
Vårdö;433
Vöyri;6691
Ylitornio;4482
Ylivieska;14748
Ylöjärvi;31743
Ypäjä;2483
Ähtäri;6271
Äänekoski;20077
